,time_x,event_name,holiday,date,jalali_date
147,۱۵ خرداد,قیام 15 خرداد,1,2016-06-04,1395-03-15
148,۷ تیر,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2016-06-27,1395-04-07
149,۱۶ تیر,عید سعید فطر [ ١ شوال ],1,2016-07-06,1395-04-16
150,۱۷ تیر,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2016-07-07,1395-04-17
151,۹ اَمرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2016-07-30,1395-05-09
152,۲۲ شهریور ,عید سعید قربان [ ١٠ ذوالحجه ],1,2016-09-12,1395-06-22
153,۳۰ شهریور ,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2016-09-20,1395-06-30
154,۲۰ مهر,تاسوعای حسینی [ ٩ محرم ],1,2016-10-11,1395-07-20
155,۲۱ مهر,عاشورای حسینی [ ١٠ محرم ],1,2016-10-12,1395-07-21
156,۳۰ آبان,اربعین حسینی [ ٢٠ صفر ],1,2016-11-20,1395-08-30
157,۸ آذر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2016-11-28,1395-09-08
158,۱۰ آذر,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2016-11-30,1395-09-10
159,۱۸ آذر,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2016-12-08,1395-09-18
160,۲۷ آذر,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2016-12-17,1395-09-27
161,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2017-02-10,1395-11-22
162,۱۲ اسفند,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2017-03-02,1395-12-12
163,۲۹ اسفند,روز ملی شدن صنعت نفت ایران ,1,2017-03-19,1395-12-29
164,۳۰ اسفند,آخرین روز سال,1,2017-03-20,1395-12-30
165,۱ فروردین,جشن نوروز/جشن سال نو ,1,2017-03-21,1396-01-01
166,۲ فروردین,عیدنوروز ,1,2017-03-22,1396-01-02
167,۳ فروردین,عیدنوروز ,1,2017-03-23,1396-01-03
168,۴ فروردین,عیدنوروز ,1,2017-03-24,1396-01-04
169,۱۲ فروردین,روز جمهوری اسلامی ,1,2017-04-01,1396-01-12
170,۱۳ فروردین,جشن سیزده به در ,1,2017-04-02,1396-01-13
171,۲۲ فروردین,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2017-04-11,1396-01-22
172,۵ اردیبهشت,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2017-04-25,1396-02-05
173,۲۲ اردیبهشت,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2017-05-12,1396-02-22
174,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2017-06-04,1396-03-14
175,۱۵ خرداد,قیام 15 خرداد ,1,2017-06-05,1396-03-15
176,۲۶ خرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2017-06-16,1396-03-26
177,۵ تیر,عید سعید فطر [ ١ شوال ],1,2017-06-26,1396-04-05
178,۶ تیر,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2017-06-27,1396-04-06
179,۲۹ تیر,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2017-07-20,1396-04-29
180,۱۰ شهریور ,عید سعید قربان [ ١٠ ذوالحجه ],1,2017-09-01,1396-06-10
181,۱۸ شهریور ,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2017-09-09,1396-06-18
182,۸ مهر,تاسوعای حسینی [ ٩ محرم ],1,2017-09-30,1396-07-08
183,۹ مهر,عاشورای حسینی [ ١٠ محرم ],1,2017-10-01,1396-07-09
184,۱۸ آبان,اربعین حسینی [ ٢٠ صفر ],1,2017-11-09,1396-08-18
185,۲۶ آبان,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2017-11-17,1396-08-26
186,۲۸ آبان,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2017-11-19,1396-08-28
187,۶ آذر,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2017-11-27,1396-09-06
188,۱۵ آذر,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2017-12-06,1396-09-15
189,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2018-02-11,1396-11-22
190,۱ اسفند,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2018-02-20,1396-12-01
191,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2018-03-20,1396-12-29
192,۱ فروردین,جشن نوروز/جشن سال نو ,1,2018-03-21,1397-01-01
193,۲ فروردین,عیدنوروز ,1,2018-03-22,1397-01-02
194,۳ فروردین,عیدنوروز ,1,2018-03-23,1397-01-03
195,۴ فروردین,عیدنوروز ,1,2018-03-24,1397-01-04
196,۱۱ فروردین,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2018-03-31,1397-01-11
197,۱۲ فروردین,روز جمهوری اسلامی ,1,2018-04-01,1397-01-12
198,۱۳ فروردین,جشن سیزده به در ,1,2018-04-02,1397-01-13
199,۲۵ فروردین,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2018-04-14,1397-01-25
200,۱۲ اردیبهشت,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2018-05-02,1397-02-12
201,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2018-06-04,1397-03-14
202,۱۵ خرداد,قیام 15 خرداد ,1,2018-06-05,1397-03-15
203,۱۶ خرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2018-06-06,1397-03-16
204,۲۵ خرداد,عید سعید فطر [ ١ شوال ],1,2018-06-15,1397-03-25
205,۲۶ خرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2018-06-16,1397-03-26
206,۱۸ تیر,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2018-07-09,1397-04-18
207,۳۱ اَمرداد,عید سعید قربان [ ١٠ ذوالحجه ],1,2018-08-22,1397-05-31
208,۸ شهریور ,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2018-08-30,1397-06-08
209,۲۸ شهریور ,تاسوعای حسینی [ ٩ محرم ],1,2018-09-19,1397-06-28
210,۲۹ شهریور ,عاشورای حسینی [ ١٠ محرم ],1,2018-09-20,1397-06-29
211,۸ آبان,اربعین حسینی [ ٢٠ صفر ],1,2018-10-30,1397-08-08
212,۱۶ آبان,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2018-11-07,1397-08-16
213,۱۷ آبان,شهادت امام رضا علیه السلام [ ٢٩ صفر ],1,2018-11-08,1397-08-17
214,۲۵ آبان,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2018-11-16,1397-08-25
215,۴ آذر,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2018-11-25,1397-09-04
216,۲۰ بهمن,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2019-02-09,1397-11-20
217,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2019-02-11,1397-11-22
218,۲۹ اسفند,روز ملی شدن صنعت نفت ایران ,1,2019-03-20,1397-12-29
219,۲۹ اسفند,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2019-03-20,1397-12-29
220,۱ فروردین,جشن نوروز/جشن سال نو ,1,2019-03-21,1398-01-01
221,۲ فروردین,عیدنوروز ,1,2019-03-22,1398-01-02
222,۳ فروردین,عیدنوروز ,1,2019-03-23,1398-01-03
223,۴ فروردین,عیدنوروز ,1,2019-03-24,1398-01-04
224,۱۲ فروردین,روز جمهوری اسلامی ,1,2019-04-01,1398-01-12
225,۱۳ فروردین,جشن سیزده به در ,1,2019-04-02,1398-01-13
226,۱۴ فروردین,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2019-04-03,1398-01-14
227,۱ اردیبهشت,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2019-04-21,1398-02-01
228,۶ خرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2019-05-27,1398-03-06
